Brine_M4,Clay_M1,Hydrox_M5,Iron_M2,Label,Sal_M3,Site,VegStress
0.5992590305649892,1.0626640419947506,1.0478809446780977,1.4569809376609995,1,3026.5313479295073,"Atacama, Chile",0.9924546476159897
4.108746355685131,1.8825466520307355,0.24262573388979275,1.0344142482083303,1,3535.623707353485,"Salar de Uyuni, Bolivia",0.9763121546961326
0.45536365847725613,1.1655798128721293,1.2431206531599637,1.4487179487179487,1,3339.016621701665,"Clayton Valley, USA",1.0015142337976983
4.089383561643835,2.0124052377670574,0.23170925249960322,1.1354157943220835,1,3146.003814365138,"Hombre Muerto, Argentina",0.9589833346016285
0.16456662848415426,1.9647411852963241,0.5146394183533111,1.7122969837587008,1,695.1298439859995,"Greenbushes, Australia",1.118707408221587
0.17225325884543763,1.2241641337386018,1.3864027538726333,2.8306306306306306,1,2249.8359940226755,"Pilgangoora, Australia",1.0296854231280461
0.34813614262560777,1.1430159318266024,1.2854166666666667,1.670391061452514,1,2352.549680665639,"Thacker Pass, USA",1.085972850678733
0.3486593406593406,1.1548223350253808,1.1967385586533403,1.93267776096823,1,2801.257530110361,"Salar de Arizaro, Argentina",1.0074191838897721
0.32186566445022646,1.0058156440825823,1.4522553727465952,1.7760479041916168,1,3487.01617113798,"Salar de Tara, Chile",1.0164026244199071
0.4368460388639761,1.2346020761245675,0.9809384164222874,1.377245508982036,1,2075.6589315203014,"Bristol Lake, USA",1.067083903774692
0.6351764378994165,1.4028454492301696,1.02215279750071,1.4129483814523185,1,3409.5116952431767,"Searles Lake, USA",1.0189552886702358
1.1059898928409235,1.2370850409836065,0.6485617597292724,1.3871221387384238,1,2136.4083352673942,"Salar de Maricunga, Chile",0.9105797763067793
0.4364990689013035,1.1348267117497888,0.9457555477280732,2.2679180887372015,1,1335.7329448658516,"Salar de Coipasa, Chile",0.9299050114641336
0.3994933960557264,1.172962648556876,0.9880228816589203,1.5552536231884058,1,2178.2859086905924,"Silver Peak, USA",1.0239794984440784
0.3876838235294118,1.0738255033557047,1.1340421096518658,1.8710289236605027,1,2316.5836915596205,"Cauchari-Olaroz, Argentina",1.0137362637362637
0.4485478666188598,1.0395080134178158,1.4428349715468185,1.2182254196642686,0,2061.6585556294235,Amazon Forest,1.0539803707742639
0.5306465155331654,1.0886654478976234,1.1151685393258426,1.370253164556962,0,1015.5816067653057,New York City,0.989805375347544
0.5573277159193499,1.2661459325585827,0.9878121284185494,1.212742980561555,0,2731.9330152842326,Tokyo,1.0704852824184568
0.28589822374389134,1.1268176872094173,1.3508182465016998,2.2320368474923233,0,4549.757658381378,Sahara Desert,0.9807707218733038
0.12497005031546998,1.1183458377992141,1.365058599073317,4.0199712414123665,0,2958.2318339395465,Outback Australia,1.0203570832638078
0.8735447611401044,1.132787630741246,0.8944344703770197,0.9944852941176471,0,1160.8751009475568,Paris,0.9326858673811118
0.3519535033903778,1.2383046781287486,1.081354748603352,1.461467889908257,0,1110.5765394604732,Brasilia,1.1235778736759514
0.18114874815905743,1.6890547263681592,0.753607103218646,1.5528455284552845,0,360.1235898965798,London,0.9698600645855759
0.2335264301230992,1.7123372597644142,0.5770998746343502,1.407751937984496,0,791.8168980263051,Shanghai,1.0586153505861535
2.151898734177215,0.9294117647058824,1.0972222222222223,0.3941176470588235,0,72.75300681071539,Sydney,1.1612903225806452
0.20418132082844861,1.678032786885246,0.5767410412440839,1.5301435406698565,0,953.5711824504765,"Agra, India",1.076549799830159
0.19172297297297297,2.4114052953156824,0.43884358784284655,0.920704845814978,0,497.44949492385655,Singapore,1.1195020746887967
0.08583037074657186,1.955312810327706,0.57438739789965,2.1420118343195265,0,844.2618077350177,Reykjavik,1.062286953827084
0.6211562115621156,1.0768211920529802,1.2793076317859953,1.3485148514851486,0,1488.1572497555492,Buenos Aires,1.020883534136546
0.6320463320463321,1.0541310541310542,1.211979410388395,1.2510690287110569,0,2303.1109395771623,Mexico City,0.9561521252796421
