Albedo,Argillic,BMI,BSI,Borate_Proxy,Clay_CMR,Ferrous_Idx,Gossan,Hydroxyl_OHI,Iron_Oxide,Label,MNDWI,NDBI,NDMI,NDSI,SAVI,SI1,Shadow_Proxy,Silica_Proxy,Site,Sulfate_Proxy,VegStress
2371.8618565731576,0.9777587681779298,0.5992590305649892,0.09066395014381586,0.9410311824637234,1.0626640419947506,1.0390290846877672,1.1453323903818953,1.0478809446780977,1.4569809376609995,1,-0.1778181791305542,0.01914101466536522,-0.01914101466536522,0.03038015030324459,0.07299229152067277,3026.5313479295073,0.6863507779349364,0.8731089842543995,"Atacama, Chile",1.1453323903818953,0.9924546476159897
7146.917569833865,0.12751959686450168,4.108746355685131,-0.22360904524779582,0.5311953352769679,1.8825466520307355,0.2400615901455767,0.2352860474687886,0.24262573388979275,1.0344142482083303,1,0.6110228896141052,-0.6128231287002563,0.6128231287002563,0.3061690926551819,-0.015069110056465862,3535.623707353485,0.9667306900809439,4.2501457725947525,"Salar de Uyuni, Bolivia",0.2352860474687886,0.9763121546961326
2333.6701026812143,1.1275575447570332,0.45536365847725613,0.154190983675886,0.8579421065434201,1.1655798128721293,1.3142583120204603,1.5158554572271385,1.2431206531599637,1.4487179487179487,1,-0.27439936995506287,0.13579224050045013,-0.13579224050045013,0.07645980268716812,0.10684016779385326,3339.016621701665,0.6902654867256637,0.659693505229871,"Clayton Valley, USA",1.5158554572271385,1.0015142337976983
6383.039695160919,0.11050186581372325,4.089383561643835,-0.20683513838748496,0.4969178082191781,2.0124052377670574,0.2223745335465692,0.21537099867237056,0.23170925249960322,1.1354157943220835,1,0.6272657513618469,-0.6361597180366516,0.6361597180366516,0.3360787034034729,-0.02399775196702885,3146.003814365138,0.8807346216256084,4.6431506849315065,"Hombre Muerto, Argentina",0.21537099867237056,0.9589833346016285
324.46173374785917,0.26364715189873417,0.16456662848415426,-0.24084124830393486,0.5089728904161894,1.9647411852963241,0.517998417721519,3.548780487804878,0.5146394183533111,1.7122969837587008,1,-0.5640489459037781,-0.31752443313598633,0.31752443313598633,0.3254048526287079,1.1176876617773943,695.1298439859995,0.5840108401084011,0.281786941580756,"Greenbushes, Australia",3.548780487804878,1.118707408221587
1082.2733788958624,1.1518599562363239,0.17225325884543763,0.25586270142800993,0.8168839230291745,1.2241641337386018,1.410065645514223,2.0509229789942713,1.3864027538726333,2.8306306306306306,1,-0.5790247321128845,0.1701470911502838,-0.1701470911502838,0.10078578442335129,0.2777129521586931,2249.8359940226755,0.3532781667727562,0.48758535071384235,"Pilgangoora, Australia",2.0509229789942713,1.0296854231280461
1443.8716471117968,1.1292887029288703,0.34813614262560777,0.16960326021814695,0.8748784440842787,1.1430159318266024,1.290794979079498,1.7196209587513935,1.2854166666666667,1.670391061452514,1,-0.38433924317359924,0.12694063782691956,-0.12694063782691956,0.06673582643270493,0.21364559684550127,2352.549680665639,0.5986622073578596,0.5815235008103727,"Thacker Pass, USA",1.7196209587513935,1.085972850678733
1763.916881072726,1.045462586237396,0.3486593406593406,0.174305891060103,0.865934065934066,1.1548223350253808,1.2073235450203432,1.4840182648401827,1.1967385586533403,1.93267776096823,1,-0.3556460440158844,0.09392531216144562,-0.09392531216144562,0.07184923440217972,0.15419877109138788,2801.257530110361,0.5174168297455969,0.6738461538461539,"Salar de Arizaro, Argentina",1.4840182648401827,1.0074191838897721
2052.7399500248403,1.4409812492262568,0.32186566445022646,0.2166943741983396,0.9942179820757444,1.0058156440825823,1.4493614833014314,1.7493256911665545,1.4522553727465952,1.7760479041916168,1,-0.4236105680465698,0.18346066772937775,-0.18346066772937775,0.002899391110986471,0.14065384505224496,3487.01617113798,0.5630478759271746,0.5716488387780668,"Salar de Tara, Chile",1.7493256911665545,1.0164026244199071
1397.653032766001,0.8282384409629346,0.4368460388639761,0.06194251734390486,0.8099775784753364,1.2346020761245675,1.0225448987390142,1.662111801242236,0.9809384164222874,1.377245508982036,1,-0.3198520243167877,0.01114679779857397,-0.01114679779857397,0.10498606413602829,0.35730337078651686,2075.6589315203014,0.7260869565217392,0.601644245142003,"Bristol Lake, USA",1.662111801242236,1.067083903774692
